Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,IMDB_ID,Rating,Votes
Star Wars: Episode IV - A New Hope,"$195,666,111","1,750","$307,263,857",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Close Encounters of the Third Kind,"$16,172,445",650,"$116,395,460",Nov 16,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl340428289/,20000000,Drama Sci-Fi,,tt0075860,7.6,181319
Grease,"$159,978,870 ",862,"$159,978,870 ",16-Jun,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2052556289/,6000000,Musical Romance,PG,tt0077631,7.2,234922
Close Encounters of the Third Kind,"$91,700,143 ",650,"$116,395,460 ",16-Nov,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl340428289/,20000000,Drama Sci-Fi,,tt0075860,7.6,181319
Star Wars: Episode IV - A New Hope,"$30,676,545 ","1,750","$307,263,857 ",25-May,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Superman,"$30,561,867 ",817,"$134,218,018 ",15-Dec,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4050814465/,55000000,Action Adventure Drama Sci-Fi,PG,tt0078346,7.3,156895
Superman,"$93,292,767",817,"$134,218,018",Dec 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4050814465/,55000000,Action Adventure Drama Sci-Fi,PG,tt0078346,7.3,156895
Star Trek: The Motion Picture,"$82,258,456","1,002","$82,258,456",Dec 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2977138177/,35000000,Adventure Mystery Sci-Fi,G,tt0079945,6.4,80200
Alien,"$78,944,891",757,"$78,944,891",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3443557889/,11000000,Horror Sci-Fi,R,tt0078748,8.4,772380
1941,"$31,755,742",325,"$31,755,742",Dec 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2034337281/,35000000,Action Comedy War,,tt0078723,5.8,30912
The Prisoner of Zenda,"$7,650,600",417,"$7,650,600",May 25,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3714811393/,12500000,Adventure Comedy,,tt0079753,5.2,1052
Star Wars: Episode IV - A New Hope,"$6,760,165","1,750","$307,263,857",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Star Wars: Episode V - The Empire Strikes Back,"$203,359,628","1,278","$209,398,025",May 21,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2775811585/,18000000,Action Adventure Fantasy Sci-Fi,PG,tt0080684,8.7,1136625
