,Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,Rating,Votes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
tt0021884,Gods and Monsters,"$4,784,214",149,"$6,451,628",Nov 6,"Lionsgate

",https://www.boxofficemojo.com/release/rl3109324289/,10000000,Biography Drama,R,7.8,63657,"$23,544","$358,456","$234,893","$198,685","$167,580","$222,337","$208,510","$348,337","$325,005","$220,375","$218,840","$308,879","$322,267","$465,162","$407,305",-,-,-34.5%,-15.4%,-15.7%,+32.7%,-6.2%,+67.1%,-6.7%,-32.2%,-0.7%,+41.1%,+4.3%,+44.3%,-12.4%,-,122,104,80,64,88,86,124,149,115,102,102,103,144,124,-,-,-18,-24,-16,+24,-2,+38,+25,-34,-13,-,+1,+41,-20,-,"$2,938","$2,258","$2,483","$2,618","$2,526","$2,424","$2,809","$2,181","$1,916","$2,145","$3,028","$3,128","$3,230","$3,284"
tt0029583,Snow White and the Seven Dwarfs1983 Re-release,"$30,100,000","1,362","$30,100,000",Jul 15,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl242255361/,1499000,Animation Family Fantasy Musical Romance,Approved,7.6,177946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0029583,Snow White and the Seven Dwarfs1987 Re-release,"$46,594,212","1,729","$46,594,212",Jul 17,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1919976961/,1499000,Animation Family Fantasy Musical Romance,Approved,7.6,177946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0029583,Snow White and the Seven Dwarfs1993 Re-release,"$41,634,471","1,831","$41,634,471",Jul 2,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1936754177/,1499000,Animation Family Fantasy Musical Romance,Approved,7.6,177946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0031679,Mr. Smith Goes to Washington2018 Re-release,"$144,738",590,"$144,738",Oct 14,"Fathom Events

",https://www.boxofficemojo.com/release/rl3473311233/,1900000,Comedy Drama,,8.1,104990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032138,The Wizard of Oz1998 Re-release,"$146,538","1,882","$14,836,984",Nov 6,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3699082753/,2777000,Adventure Family Fantasy Musical,PG,8.0,367059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032138,The Wizard of Oz2009 NCM Fathom Event,"$1,140,000",451,"$1,140,000",Sep 23,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3631973889/,2777000,Adventure Family Fantasy Musical,PG,8.0,367059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032138,The Wizard of Oz2013 3D/IMAX Release,"$5,633,202",318,"$5,633,202",Sep 20,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3850077697/,2777000,Adventure Family Fantasy Musical,PG,8.0,367059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032138,The Wizard of Oz2019 Re-release,"$2,076,020",681,"$2,076,020",Jan 27,"Fathom Events

",https://www.boxofficemojo.com/release/rl201950721/,2777000,Adventure Family Fantasy Musical,PG,8.0,367059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0034583,Casablanca1992 Re-release,"$1,719,913",11,"$1,719,913",Apr 10,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl3192423937/,950000,Drama Romance War,PG,8.5,512325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
