,Release,Release Date,Genres,URL,Distributor,Calendar Gross,Total Gross,Max Theaters,MPAA_numeric,Rating,Votes,Budget,wkGROSS_1,wkGROSS_2,wkGROSS_3,wkGROSS_4,wkGROSS_5,wkGROSS_6,wkGROSS_7,wkGROSS_8,wkGROSS_9,wkGROSS_10,wkGROSS_11,wkGROSS_12,wkGROSS_13,wkGROSS_14,wkGROSS_15,nTHEATERS_1,nTHEATERS_2,nTHEATERS_3,nTHEATERS_4,nTHEATERS_5,nTHEATERS_6,nTHEATERS_7,nTHEATERS_8,nTHEATERS_9,nTHEATERS_10,nTHEATERS_11,nTHEATERS_12,nTHEATERS_13,nTHEATERS_14,nTHEATERS_15,pTAG_1,pTAG_2,pTAG_3,pTAG_4,pTAG_5,pTAG_6,pTAG_7,pTAG_8,pTAG_9,pTAG_10,pTAG_11,pTAG_12,pTAG_13,pTAG_14,pTAG_15
0,Gods and Monsters,Nov 6,Biography Drama,https://www.boxofficemojo.com/release/rl3109324289/,Lionsgate,4784214,6451628,149,4,7.8,63657,10000000,23544,358456,234893,198685,167580,222337,208510,348337,325005,220375,218840,308879,322267,465162,407305,0,122,104,80,64,88,86,124,149,115,102,102,103,144,124,0,2938,2258,2483,2618,2526,2424,2809,2181,1916,2145,3028,3128,3230,3284
77,Tootsie,Dec 17,Comedy Drama Romance,https://www.boxofficemojo.com/release/rl645367297/,Columbia Pictures,146259321,177200000,1222,0,7.4,96363,21000000,10640415,18023424,15937862,15188611,12984432,11521124,9579065,7900318,6847544,9007489,6652263,5649177,5222115,4931349,4163337,943,964,1020,1115,1190,1214,1222,1222,1215,1197,1216,1221,1214,1185,1027,11283,18696,15625,13622,10911,9490,7838,6465,5635,7525,5470,4626,4301,4161,4053
84,Risky Business,Aug 5,Comedy Crime Drama Romance,https://www.boxofficemojo.com/release/rl40666625/,Warner Bros.,63541777,63541777,1137,0,6.8,79517,6200000,7226388,7843920,8170218,7245305,7573544,4424338,3751359,3120913,2768047,2331060,1951121,1724293,1178324,1113617,981705,670,693,891,1089,1119,1120,1121,1137,1111,1070,1035,964,867,748,738,10785,11318,9169,6653,6768,3950,3346,2744,2491,2178,1885,1788,1359,1488,1330
90,Terms of Endearment,Nov 23,Comedy Drama,https://www.boxofficemojo.com/release/rl3245704705/,Paramount Pictures,34003216,108423489,1259,0,7.4,53999,8000000,1091189,4732565,4226075,5997753,5435058,9241342,11477323,8369007,6708826,4763065,4503443,3881348,3031864,5581876,3671102,0,260,260,945,945,1027,1027,1009,1020,986,903,870,847,1259,1238,0,18202,16254,6346,5751,8998,11175,8294,6577,4830,4987,4461,3579,4433,2965
91,Terms of Endearment,23-Nov,Comedy Drama,https://www.boxofficemojo.com/release/rl3245704705/,Paramount Pictures,74420269,108423489,1259,0,7.4,53999,8000000,1091189,4732565,4226075,5997753,5435058,9241342,11477323,8369007,6708826,4763065,4503443,3881348,3031864,5581876,3671102,0,260,260,945,945,1027,1027,1009,1020,986,903,870,847,1259,1238,0,18202,16254,6346,5751,8998,11175,8294,6577,4830,4987,4461,3579,4433,2965
98,Footloose,17-Feb,Drama Music Romance,https://www.boxofficemojo.com/release/rl2001896961/,Paramount Pictures,80035402,80035402,1384,0,6.6,68832,8200000,10239517,8075426,7799693,7079832,6383965,5782936,5326837,3821937,3581373,3418425,2959456,2146238,1704499,1719575,2344253,1384,1384,1384,1384,1360,1360,1360,1272,998,1045,1110,922,876,750,912,7398,5834,5635,5115,4694,4252,3916,3004,3588,3271,2666,2327,1945,2292,2570
104,Indiana Jones and the Temple of Doom,23-May,Action Adventure,https://www.boxofficemojo.com/release/rl2455471617/,Paramount Pictures,179870271,179870271,1687,0,7.6,439983,28000000,8331232,43406595,25018047,17614820,14082954,11768218,9612778,7790465,6500043,4752690,4161324,3838353,3358992,2634461,2288216,1687,1687,1687,1685,1685,1600,1546,1311,1287,1022,1052,1030,946,730,785,4938,25730,14829,10453,8357,7355,6217,5942,5050,4650,3955,3726,3550,3608,2914
107,Back to the Future,Jul 3,Adventure Comedy Sci-Fi,https://www.boxofficemojo.com/release/rl2974385665/,Universal Pictures,20028355,210609762,1550,0,8.5,1033008,19000000,3592539,18433091,17891378,17256000,15988880,14390412,13434695,11991070,10636685,10563253,6616890,5391816,5000851,4956555,4175769,1341,1419,1434,1437,1492,1496,1522,1513,1533,1536,1503,1458,1429,1406,1334,2679,12990,12476,12008,10716,9619,8827,7925,6938,6877,4402,3698,3499,3525,3130
124,Platoon,Dec 19,Drama War,https://www.boxofficemojo.com/release/rl3446179329/,Orion Pictures,136772865,138530565,1564,0,8.1,374733,6000000,448686,1527183,2733086,2670565,5550457,5278138,11954809,11735758,15759082,11107214,9710291,8502112,6458531,5509433,6250349,6,19,59,73,174,214,590,856,1194,1291,1466,1554,1556,1554,1560,74781,80378,46323,36583,31899,24664,20262,13709,13198,8603,6623,5471,4150,3545,4006
143,Three Men and a Baby,Nov 25,Comedy Drama Family,https://www.boxofficemojo.com/release/rl3061089793/,Walt Disney Studios Motion Pictures,90528478,167780960,1813,0,6.0,46989,11000000,3533653,13098081,10933145,8946386,12684746,21605600,15804968,10560912,10560765,7479562,6418019,5169033,6250134,4438460,3652581,0,1006,1006,1016,1753,1804,1804,1804,1813,1813,1813,1813,1728,1689,1615,0,13019,10867,8805,7236,11976,8761,5854,5825,4125,3539,2851,3616,2627,2261
